date,company,state,breach,org,records
3/3/2006,PayDayOKLLC,NJ,HACK,BSF,88.0
1/4/2012,SFFireCreditUnionPacifica-CoastsideCreditUnion,CA,PORT,BSF,0.0
2/18/2012,BDOUSARubio'sRestaurants,CA,PORT,BSR,0.0
2/22/2012,DHIMortgageCompanyLtd.,TX,HACK,BSF,0.0
3/12/2012,ImpairmentResourcesLLC,CA,PORT,MED,14000.0
3/14/2012,RJLInsuranceServicesLLCRJLWealthManagement,CA,DISC,BSF,0.0
3/19/2012,KaiserFoundationHealthPlan,CA,DISC,MED,30000.0
3/19/2012,IndyMacBankIndyMacResources,TX,DISC,BSF,0.0
3/23/2012,ManhattanPrep,NY,HACK,BSR,0.0
3/31/2012,St.Joseph'sMedicalCenter,CA,PHYS,MED,712.0
3/31/2012,SacramentoAreaFireFightersLocal522,CA,DISC,BSO,0.0
3/31/2012,SanFranciscoHeadStartSanFranciscoStateUniversity,CA,UNKN,GOV,0.0
3/31/2012,OpeningCeremonyOnlineLLC.,NY,UNKN,BSR,0.0
4/3/2012,StateFarmInsurance,IL,INSD,BSF,0.0
4/5/2012,UnionBank,CA,INSD,BSF,0.0
4/9/2012,PonoProducts,IL,HACK,BSR,1000.0
4/11/2012,X-Rite,MI,HACK,BSR,0.0
4/12/2012,PerryDental,CA,PORT,MED,0.0
4/19/2012,CignaDental,CT,INSD,MED,0.0
4/20/2012,DesertAIDSProject(D.A.P.),CA,PORT,NGO,4400.0
4/20/2012,IndieResearchLLCBullMarket.com,NJ,HACK,BSF,0.0
4/25/2012,Rent-A-Center,TX,STAT,BSR,0.0
4/26/2012,ChoiceHotelsInternationals,MD,DISC,BSO,0.0
5/2/2012,Rackspace,DE,HACK,BSO,0.0
5/11/2012,FirstDataCorporation,GA,DISC,BSF,15399.0
5/11/2012,CaliforniaDepartmentofJusticeComputerandTechnologyCrimeHigh-TechResponseTeam(CATCH),CA,HACK,GOV,0.0
5/24/2012,Altrec,OR,HACK,BSR,0.0
5/29/2012,Investacorp,FL,DISC,BSF,0.0
6/5/2012,CaliforniaDepartmentofPublicHealthBakersfieldMemorialHospital,CA,PHYS,GOV,0.0
6/6/2012,NextDayFlyers(PostcardPress,CA,HACK,BSO,0.0
6/19/2012,ECSTuning,OH,HACK,BSR,0.0
6/20/2012,Gotickets,IL,HACK,BSR,0.0
6/29/2012,www.ThePartsBin.com,NE,HACK,BSR,0.0
6/29/2012,UniversityofSouthernCalifornia(USC),CA,HACK,EDU,0.0
7/12/2012,ScrippsCollegeFinancialAidOffice,CA,INSD,EDU,0.0
7/17/2012,PattersonDentalRiverArchDentalHamnerSquareDental,CA,PORT,MED,3645.0
7/20/2012,MissionLinenSupply,CA,HACK,BSR,0.0
7/26/2012,PetcoAnimalSupplies,MN,PORT,BSR,0.0
7/31/2012,MassachusettsMutualLifeInsuranceCompany(MassMutual),MA,HACK,BSF,0.0
8/7/2012,NordstromBankNordstromfsb,CO,DISC,BSF,2457.0
8/7/2012,CaliforniaCorrectionalHealthCareServices(CCHCS)RegionalAdministration,CA,PHYS,MED,0.0
8/14/2012,FirstRepublicBank,CA,PHYS,BSF,0.0
8/14/2012,CreativeCroissants,CA,UNKN,BSR,0.0
8/17/2012,DiscoverFinancialServices,IL,UNKN,BSF,0.0
8/21/2012,Bellacor.com,MN,HACK,BSR,0.0
8/23/2012,JohnStewartCompany(JSCo),CA,DISC,BSO,0.0
